state,county,date,cases,deaths,all_hospital_beds,hospitalized_covid_confirmed_patients,hospitalized_covid_patients,hospitalized_suspected_covid_patients,icu_available_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients
Washington,Columbia,2020-03-25,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-25,3,0.0,,,,,,,
Washington,Douglas,2020-03-25,2,0.0,,,,,,,
Washington,Ferry,2020-03-25,1,0.0,,,,,,,
Washington,Franklin,2020-03-25,7,0.0,,,,,,,
Washington,Grant,2020-03-25,26,0.0,,,,,,,
Washington,Grays Harbor,2020-03-25,1,0.0,,,,,,,
Washington,Island,2020-03-25,38,1.0,,,,,,,
Washington,Jefferson,2020-03-25,10,0.0,,,,,,,
Washington,King,2020-03-25,1360,101.0,,,,,,,
Washington,Kitsap,2020-03-25,27,0.0,,,,,,,
Washington,Kittitas,2020-03-25,6,0.0,,,,,,,
